id,country,iso3,latitude,longitude,centroid,displacement_type,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,locations_name,locations_coordinates,description,combined_type,District,State
g ,#country+name,#country+iso3,#geo+lat,#geo+lon,,#event+displacement_type,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,#description,#cause,,
192752,Malaysia,MYS,5.07615,115.549728,"[5.07615, 115.549728]",Disaster,81,9/17/2025,9/17/2025,9/17/2025,2025,32946,Malaysia: Flood - Sabah (6 Districts) - 09/09/2025,,,9/9/2025,9/17/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Sipitang, Sabah","5.07615, 115.549728","Malaysia: 81 displacements (in relief camp), 17 September - 17 September. According to national/regional disaster authorities, a total of 81 people were in relief camp in Sipitang, Sabah due to flood on 17 September",Flood,Sipitang,Sabah
192753,Malaysia,MYS,4.17914,114.324348,"[4.17914, 114.324348]",Disaster,8,9/17/2025,9/17/2025,9/17/2025,2025,33215,"Malaysia: Flood - Sarawak (Miri, Marudi) - 16/09/2025",,,9/16/2025,9/16/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Marudi, Sarawak, Malaysia","4.17914, 114.324348","Malaysia: 8 displacements (in relief camp), 17 September - 17 September. A total of 8 people were in relief camp due to flood on 17 September in Marudi, Sarawak, Malaysia, according to national/regional disaster authorities.",Flood,Marudi,Sarawak
192754,Malaysia,MYS,5.93555,116.084633,"[5.93555, 116.084633]",Disaster,18,9/17/2025,9/17/2025,9/17/2025,2025,33216,"Malaysia: Landslide - Sabah (Papar, Penampang) - 16/09/2025",,,9/16/2025,9/16/2025,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,National Disaster Management Agency (NADMA),"Jalan Penampang, Sabah","5.93555, 116.084633","Malaysia: 18 displacements (in relief camp), 17 September - 17 September. A total of 18 people were in relief camp due to landslide/wet mass movement on 17 September in Jalan Penampang, Sabah, according to national/regional disaster authorities.",Mass Movement,Jalan Penampang,Sarawak
192719,Malaysia,MYS,4.00001,113.999878,"[4.00001, 113.999878]",Disaster,49,9/16/2025,9/16/2025,9/16/2025,2025,33215,"Malaysia: Flood - Sarawak (Miri, Marudi) - 16/09/2025",,,9/16/2025,9/16/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Miri Division, Sarawak, Malaysia","4.00001, 113.999878","Malaysia: 49 displacements (in relief camp), 16 September - 16 September. A total of 49 people were in relief camp due to flood on 16 September in Miri, Sarawak, Malaysia, according to national/regional disaster authorities.",Flood,Miri,Sarawak
192720,Malaysia,MYS,5.7336,115.931702,"[5.7336, 115.931702]",Disaster,45,9/16/2025,9/16/2025,9/16/2025,2025,33216,"Malaysia: Landslide - Sabah (Papar, Penampang) - 16/09/2025",,,9/16/2025,9/16/2025,Weather related,Hydrological,Mass Movement,Landslide/Wet mass movement,,National Disaster Management Agency (NADMA),"Papar, Sabah","5.7336, 115.931702","Malaysia: 45 displacements (in relief camp), 16 September - 16 September. Landslide/wet mass movement resulted in a total of 45 people being in relief camp in Papar, Sabah on 16 September, according to national/regional disaster authorities.",Mass Movement,Papar,Sabah
192703,Malaysia,MYS,3.6962,101.519951,"[3.6962, 101.519951]",Disaster,249,9/15/2025,9/15/2025,9/15/2025,2025,33210,Malaysia: Flood - Perak (Muallim) - 15/09/2025,,,9/15/2025,9/15/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Tanjung Malim, Perak, Malaysia","3.6962, 101.519951","Malaysia: 249 displacements (in relief camp), 15 September - 15 September. A total of 249 people were in relief camp due to flood on 15 September in Tanjung Malim, Perak, Malaysia, according to national/regional disaster authorities.",Flood,Tanjung Malim,Perak
192704,Malaysia,MYS,2.52289,101.79451,"[2.52289, 101.79451]",Disaster,76,9/15/2025,9/15/2025,9/15/2025,2025,33211,Malaysia: Flood - Negeri Sembilan (Port Dickson) - 15/09/2025,,,9/15/2025,9/15/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Port Dickson, Negeri Sembilan, Malaysia","2.52289, 101.79451","Malaysia: 76 displacements (in relief camp), 15 September - 15 September. Flood resulted in a total of 76 people being in relief camp in Port Dickson, Negeri Sembilan, Malaysia on 15 September, according to national/regional disaster authorities.",Flood,Port Dickson,Negeri Sembilan
192705,Malaysia,MYS,3.52361,101.641479,"[3.52361, 101.641479]",Disaster,31,9/15/2025,9/15/2025,9/15/2025,2025,33212,"Malaysia: Flood - Selangor (Hulu Selangor, Hulu Langat) - 15/09/2025",,,9/15/2025,9/15/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Hulu Selangor, Selangor, Malaysia","3.52361, 101.641479","Malaysia: 31 displacements (in relief camp), 15 September - 15 September. Flood resulted in a total of 31 people being in relief camp in Hulu Selangor, Selangor, Malaysia on 15 September, according to national/regional disaster authorities.",Flood,Hulu Selangor,Selangor
192706,Malaysia,MYS,2.9603,101.758759,"[2.9603, 101.758759]",Disaster,10,9/15/2025,9/15/2025,9/15/2025,2025,33212,"Malaysia: Flood - Selangor (Hulu Selangor, Hulu Langat) - 15/09/2025",,,9/15/2025,9/15/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Bandar Baru Bangi, Selangor, Malaysia","2.9603, 101.758759","Malaysia: 10 displacements (in relief camp), 15 September - 15 September. Flood resulted in a total of 10 people being in relief camp in Hulu Langat, Selangor, Malaysia on 15 September, according to national/regional disaster authorities.",Flood,Bandar Baru Bangi,Selangor
