series,date,gdp,gni,gdp_capita,gni_capita
abs,1/1/1970,73709.68,76983.21,6773.39,7074.204
abs,1/1/1971,81106.20,83746.67,7265.66,7503.945
abs,1/1/1972,88720.81,91918.37,7751.699,8032.858
abs,1/1/1973,99102.10,101584.25,8455.832,8667.553
abs,1/1/1974,107346.07,109385.70,8941.871,9117.128
abs,1/1/1975,108205.99,111851.76,8798.552,9090.682
abs,1/1/1976,120718.38,123838.24,9589.923,9837.771
abs,1/1/1977,130077.74,133193.37,10082.193,10327.015
abs,1/1/1978,138732.98,141107.23,10509.519,10688.523
abs,1/1/1979,151703.26,154006.77,11223.58,11394.333
abs,1/1/1980,162992.75,167483.43,11743.564,12068.946
abs,1/1/1981,174307.88,180059.31,12226.928,12630.473
abs,1/1/1982,184667.26,188322.35,12604.099,12852.745
abs,1/1/1983,196213.09,195591.01,13039.86,12997.026
abs,1/1/1984,211442.74,208673.82,13684.346,13507.86
abs,1/1/1985,209274.92,205565.93,13175.348,12942.433
abs,1/1/1986,211871.17,211610.15,12973.946,12958.031
abs,1/1/1987,222871.38,222910.89,13286.801,13289.009
abs,1/1/1988,245019.71,248173.77,14229.576,14413.756
abs,1/1/1989,267217.52,269737.29,15128.372,15271.962
abs,1/1/1990,291289.88,297756.39,16090.387,16449.432
abs,1/1/1991,319094.86,323490.85,17203.576,17442.373
abs,1/1/1992,347446.82,346281.63,18223.312,18159.985
abs,1/1/1993,381826.49,381119.51,19479.429,19442.9
abs,1/1/1994,417000.50,415600.05,20702.562,20632.087
abs,1/1/1995,457987.84,454597.16,22145.584,21979.44
abs,1/1/1996,503798.99,498239.70,23737.032,23476.175
abs,1/1/1997,540690.89,533956.29,24836.478,24527.696
abs,1/1/1998,500899.20,506098.29,22428.692,22661.904
abs,1/1/1999,531642.45,526622.00,23206.549,22987.027
abs,1/1/2000,578739.95,560285.34,24632.104,23847.353
abs,1/1/2001,581735.95,567552.98,24208.28,23618.101
abs,1/1/2002,613097.26,601651.66,24981.23,24514.579
abs,1/1/2003,648586.39,644658.68,25903.574,25746.382
abs,1/1/2004,692582.85,689190.05,27116.586,26983.317
abs,1/1/2005,729512.33,725841.30,28008.077,27867.819
abs,1/1/2006,772180.48,779772.01,29084.686,29369.934
abs,1/1/2007,822219.26,826024.48,30387.01,30528.171
abs,1/1/2008,861746.89,845705.94,31259.015,30677.013
abs,1/1/2009,847648.67,851031.78,30185.653,30305.762
abs,1/1/2010,908628.92,884216.88,31782.997,30929.129
abs,1/1/2011,956730.94,932856.96,32920.119,32098.742
abs,1/1/2012,1009097.17,969270.59,34195.51,32845.87
