ID,Port Name,Port Code,Latitude,Longitude
1,Pelabuhan Kelang,MYPKG,3.008817,101.3907921
2,Pelabuhan Johor,MYJOH,1.472564,103.8989573
3,Pelabuhan Tanjung Pelepas,MYTPP,1.3621673,103.5512059
4,Pelabuhan Kuantan,MYKUA,3.9672952,103.4164998
5,Pelabuhan Kemaman,MYKEM,4.2472556,103.4556878
6,Pelabuhan Pulau Pinang,MYPEN,5.4062264,100.3617253
7,Pelabuhan Bintulu,MYBTU,3.26881,113.0703342
8,Pelabuhan Kota Kinabalu,MYBKI,5.994538,116.0828406
9,Pelabuhan Kuching,MYKCH,1.5545207,110.392768
10,Pelabuhan Kudat,MYKUD,6.88684,116.8253111
11,Pelabuhan Labuan,MYLBU,5.272212,115.2378569
12,Pelabuhan Lahad Datu,MYLDU,5.0197253,118.3499622
13,Pelabuhan Lawas,MYLWY,0,0
14,Pelabuhan Miri,MYMYY,4.5484119,114.0217525
15,Pelabuhan Pasir Gudang,MYPGU,1.4518806,103.8907209
16,Pelabuhan Kelang-North Port,MYNP,3.0318939,101.3448503
17,Pelabuhan Kelang-West Port,MYWP,2.9205057,101.2693028
18,Pelabuhan Sandakan,MYSDK,5.8086678,118.0797186
19,Pelabuhan Sibu,MYSBW,2.2881422,111.8007993
20,Pelabuhan Tawau,MYTWU,4.2452365,117.8780906
