series,date,sector,gdp,hours,employment,output_hour,output_employment,year,normalized_productivity
abs,2015-01-01,p1,97539.0,3872.0,7505.0,25.2,12996.5,2015,100.0
abs,2015-01-01,p2,103059.0,191.0,316.0,539.6,326136.1,2015,100.0
abs,2015-01-01,p3,262379.0,5763.0,9515.0,45.5,27575.3,2015,100.0
abs,2015-01-01,p4,55382.0,3666.0,6070.0,15.1,9123.9,2015,100.0
abs,2015-01-01,p5,643883.0,19216.0,32563.0,33.5,19773.5,2015,100.0
abs,2016-01-01,p1,93977.0,3741.0,7101.0,25.1,13234.3,2016,99.60317460317462
abs,2016-01-01,p2,105368.0,190.0,305.0,554.6,345468.9,2016,102.77983691623425
abs,2016-01-01,p3,273898.0,5808.0,9565.0,47.2,28635.4,2016,103.73626373626375
abs,2016-01-01,p4,59507.0,3600.0,5995.0,16.5,9926.1,2016,109.27152317880795
abs,2016-01-01,p5,680562.0,19859.0,33755.0,34.3,20161.8,2016,102.38805970149254
abs,2017-01-01,p1,99508.0,3893.0,7357.0,25.6,13525.6,2017,101.58730158730161
abs,2017-01-01,p2,105837.0,196.0,322.0,540.0,328686.3,2017,100.0741289844329
abs,2017-01-01,p3,290464.0,5944.0,9763.0,48.9,29751.5,2017,107.47252747252747
abs,2017-01-01,p4,63522.0,3602.0,5990.0,17.6,10604.7,2017,116.55629139072849
abs,2017-01-01,p5,723361.0,20242.0,34404.0,35.7,21025.5,2017,106.56716417910448
abs,2018-01-01,p1,99637.0,3870.0,7376.0,25.7,13508.3,2018,101.98412698412697
abs,2018-01-01,p2,103557.0,186.0,302.0,556.8,342904.0,2018,103.18754633061526
abs,2018-01-01,p3,304843.0,6042.0,10006.0,50.5,30466.0,2018,110.98901098901099
abs,2018-01-01,p4,66194.0,3615.0,6037.0,18.3,10964.7,2018,121.19205298013244
abs,2018-01-01,p5,772990.0,20599.0,35519.0,37.5,21762.7,2018,111.94029850746267
abs,2019-01-01,p1,101574.0,3938.0,7492.0,25.8,13557.7,2019,102.3809523809524
abs,2019-01-01,p2,102888.0,184.0,302.0,559.2,340688.7,2019,103.63232023721277
abs,2019-01-01,p3,316283.0,6118.0,10212.0,51.7,30971.7,2019,113.62637362637362
abs,2019-01-01,p4,66452.0,3497.0,5852.0,19.0,11355.4,2019,125.82781456953643
abs,2019-01-01,p5,820576.0,21286.0,36645.0,38.6,22392.6,2019,115.22388059701494
abs,2020-01-01,p1,99109.0,3778.0,7463.0,26.2,13280.0,2020,103.96825396825398
abs,2020-01-01,p2,92879.0,168.0,295.0,552.9,314844.1,2020,102.46478873239435
abs,2020-01-01,p3,307606.0,5569.0,10206.0,55.2,30139.7,2020,121.31868131868133
abs,2020-01-01,p4,53616.0,2972.0,5596.0,18.0,9581.1,2020,119.20529801324504
abs,2020-01-01,p5,777693.0,19483.0,36823.0,39.9,21119.8,2020,119.1044776119403
abs,2021-01-01,p1,98843.0,3954.0,7494.0,25.0,13189.6,2021,99.20634920634922
abs,2021-01-01,p2,93717.0,176.0,300.0,532.5,312390.0,2021,98.68421052631578
abs,2021-01-01,p3,336725.0,5917.0,10471.0,56.9,32157.9,2021,125.05494505494505
abs,2021-01-01,p4,50839.0,3073.0,5541.0,16.5,9175.1,2021,109.27152317880795
abs,2021-01-01,p5,795117.0,20722.0,37351.0,38.4,21287.7,2021,114.6268656716418
abs,2022-01-01,p1,100164.0,4006.0,7444.0,25.0,13455.7,2022,99.20634920634922
abs,2022-01-01,p2,97003.0,182.0,304.0,533.0,319088.8,2022,98.77687175685693
abs,2022-01-01,p3,364225.0,6400.0,10878.0,56.9,33482.7,2022,125.05494505494505
abs,2022-01-01,p4,53455.0,3291.0,5530.0,16.2,9666.4,2022,107.28476821192052
abs,2022-01-01,p5,884871.0,22244.0,38894.0,39.8,22750.8,2022,118.80597014925371
abs,2023-01-01,p1,100393.0,4070.0,7494.0,24.7,13396.5,2023,98.01587301587301
abs,2023-01-01,p2,97537.0,186.0,304.0,524.4,320845.4,2023,97.18309859154928
abs,2023-01-01,p3,366794.0,6632.0,11188.0,55.3,32784.6,2023,121.53846153846153
abs,2023-01-01,p4,56663.0,3344.0,5589.0,16.9,10138.3,2023,111.92052980132449
abs,2023-01-01,p5,930363.0,23153.0,40230.0,40.2,23126.1,2023,120.00000000000001
abs,2024-01-01,p1,103458.0,4101.0,7556.0,25.2,13692.2,2024,100.0
abs,2024-01-01,p2,98432.0,187.0,305.0,526.4,322727.9,2024,97.55374351371385
abs,2024-01-01,p3,382034.0,6765.0,11359.0,56.5,33632.7,2024,124.17582417582418
abs,2024-01-01,p4,66579.0,3340.0,5639.0,19.9,11806.9,2024,131.78807947019865
abs,2024-01-01,p5,980110.0,24089.0,41640.0,40.7,23537.7,2024,121.49253731343283
