Year,Sector,Value
2024,Agricultural raw materials,1.253654191
2023,Agricultural raw materials,1.178172158
2022,Agricultural raw materials,1.193417928
2021,Agricultural raw materials,1.433594015
2020,Agricultural raw materials,1.564481941
2019,Agricultural raw materials,1.699092496
2018,Agricultural raw materials,1.682455373
2017,Agricultural raw materials,2.126963688
2016,Agricultural raw materials,1.936988491
2015,Agricultural raw materials,1.845001685
2014,Agricultural raw materials,1.760606188
2013,Agricultural raw materials,2.16598303
2012,Agricultural raw materials,2.400565276
2011,Agricultural raw materials,3.165911119
2010,Agricultural raw materials,2.645598361
2009,Agricultural raw materials,2.057625847
2008,Agricultural raw materials,2.35122398
2007,Agricultural raw materials,2.459726609
2006,Agricultural raw materials,2.737210783
2005,Agricultural raw materials,2.479114091
2004,Agricultural raw materials,2.451057404
2003,Agricultural raw materials,2.392628298
2002,Agricultural raw materials,2.249318123
2001,Agricultural raw materials,2.115012168
2000,Agricultural raw materials,2.621660316
1999,Agricultural raw materials,2.917436519
1998,Agricultural raw materials,3.054567833
1997,Agricultural raw materials,4.350604441
1996,Agricultural raw materials,5.209943248
1995,Agricultural raw materials,6.183894776
1994,Agricultural raw materials,7.157356832
1993,Agricultural raw materials,8.745362703
1992,Agricultural raw materials,10.23754412
1991,Agricultural raw materials,11.28030857
1990,Agricultural raw materials,13.80499434
1989,Agricultural raw materials,17.90089536
1988,Agricultural raw materials,21.53393684
1987,Agricultural raw materials,22.63547085
1986,Agricultural raw materials,21.1000778
1985,Agricultural raw materials,18.37622907
1984,Agricultural raw materials,20.14550922
1983,Agricultural raw materials,24.2628015
1982,Agricultural raw materials,26.01681132
1981,Agricultural raw materials,27.39038545
1980,Agricultural raw materials,31.00132301
1979,Agricultural raw materials,36.18138043
1978,Agricultural raw materials,36.28820658
1977,Agricultural raw materials,38.69816368
1976,Agricultural raw materials,41.06745171
1975,Agricultural raw materials,34.12704042
1974,Agricultural raw materials,43.57731007
1973,Agricultural raw materials,55.35213485
1972,Agricultural raw materials,45.07142234
1971,Agricultural raw materials,46.00612525
1970,Agricultural raw materials,50.04839133
1969,Agricultural raw materials,55.71122916
1968,Agricultural raw materials,50.1415603
1967,Agricultural raw materials,52.28977935
1966,Agricultural raw materials,52.188255
1965,Agricultural raw materials,49.66630743
1964,Agricultural raw materials,51.82793706
2024,Food,10.21935408
2023,Food,9.541790496
2022,Food,10.58831499
2021,Food,10.79008481
2020,Food,10.07283729
2019,Food,9.268297007
2018,Food,9.090188089
2017,Food,11.02809025
2016,Food,11.54855551
2015,Food,10.83439658
2014,Food,11.10808555
2013,Food,10.99291166
2012,Food,12.50853643
2011,Food,13.97225762
2010,Food,11.87650096
2009,Food,11.21331495
2008,Food,11.64665495
2007,Food,9.218115179
2006,Food,6.955288196
2005,Food,6.94073374
2004,Food,7.948275838
2003,Food,8.586155172
2002,Food,7.535529049
2001,Food,6.055160427
2000,Food,5.537580316
1999,Food,7.984942303
1998,Food,9.967180135
1997,Food,8.641368732
1996,Food,8.704364975
1995,Food,9.49977543
1994,Food,9.879757433
1993,Food,9.432781776
1992,Food,10.49028769
1991,Food,10.67837931
1990,Food,11.65842973
1989,Food,13.91155616
1988,Food,15.7765932
1987,Food,14.90946632
1986,Food,15.83090151
1985,Food,17.44962414
1984,Food,19.21281183
1983,Food,15.7302454
1982,Food,15.94333698
1981,Food,16.86854856
1980,Food,15.04649355
1979,Food,17.15529494
1978,Food,17.8018815
1977,Food,19.19466134
1976,Food,16.53421668
1975,Food,23.21339293
1974,Food,18.83923636
1973,Food,14.23354636
1972,Food,16.74816715
1971,Food,15.6418013
1970,Food,12.63583704
1969,Food,8.965345797
1968,Food,10.52632213
1967,Food,10.8726145
1966,Food,10.57992033
1965,Food,10.76531641
1964,Food,9.418381391
2024,Fuel,14.40331582
2023,Fuel,16.51216338
2022,Fuel,17.08107931
2021,Fuel,12.44741033
2020,Fuel,11.38568064
2019,Fuel,14.43927765
2018,Fuel,15.67076642
2017,Fuel,15.4036826
2016,Fuel,14.00259524
2015,Fuel,16.46374629
2014,Fuel,22.08948731
2013,Fuel,22.27238742
2012,Fuel,20.40714624
2011,Fuel,17.7387093
2010,Fuel,15.8464171
2009,Fuel,14.76368006
2008,Fuel,18.34972012
2007,Fuel,14.39473282
2006,Fuel,13.73161075
2005,Fuel,13.40600442
2004,Fuel,11.59899031
2003,Fuel,10.0750779
2002,Fuel,8.390657286
2001,Fuel,9.719842426
2000,Fuel,9.618378865
1999,Fuel,6.795830894
1998,Fuel,6.163305401
1997,Fuel,8.123583259
1996,Fuel,8.062548974
1995,Fuel,6.990986242
1994,Fuel,7.367116564
1993,Fuel,10.28720717
1992,Fuel,12.9456084
1991,Fuel,15.51365676
1990,Fuel,18.32467867
1989,Fuel,16.25317677
1988,Fuel,15.80046517
1987,Fuel,19.94625451
1986,Fuel,22.85109797
1985,Fuel,31.53794133
1984,Fuel,29.92930861
1983,Fuel,28.70647616
1982,Fuel,28.66899052
1981,Fuel,26.62271568
1980,Fuel,24.71961379
1979,Fuel,18.24304736
1978,Fuel,14.04445986
1977,Fuel,14.28039609
1976,Fuel,14.44123509
1975,Fuel,10.88139478
1974,Fuel,8.487953176
1973,Fuel,5.404693451
1972,Fuel,6.861792905
1971,Fuel,10.33561241
1970,Fuel,7.347273155
1969,Fuel,6.99215983
1968,Fuel,8.797276845
1967,Fuel,5.626544185
1966,Fuel,5.177497951
1965,Fuel,4.672468571
1964,Fuel,4.896504321
2021,ICT goods,32.19
2020,ICT goods,34.69
2019,ICT goods,32.23
2018,ICT goods,32.99
2017,ICT goods,31.02
2016,ICT goods,30.53
2015,ICT goods,30.05
2014,ICT goods,28.73
2013,ICT goods,28.21
2012,ICT goods,27.9
2011,ICT goods,29.44
2010,ICT goods,34.01
2009,ICT goods,36.46
2008,ICT goods,24.48
2007,ICT goods,39.35
2006,ICT goods,42.7
2005,ICT goods,43.39
2004,ICT goods,45.16
2003,ICT goods,48.54
2002,ICT goods,50.74
2001,ICT goods,51.49
2000,ICT goods,52.68
2023,Insurance and financial services,2.623617653
2022,Insurance and financial services,3.709757478
2021,Insurance and financial services,5.062463965
2020,Insurance and financial services,4.750264576
2019,Insurance and financial services,2.433113697
2018,Insurance and financial services,2.28709355
2017,Insurance and financial services,2.234137945
2016,Insurance and financial services,2.287977549
2015,Insurance and financial services,2.03085719
2014,Insurance and financial services,1.924816236
2013,Insurance and financial services,1.824043579
2012,Insurance and financial services,2.126578772
2011,Insurance and financial services,2.049204369
2010,Insurance and financial services,1.522338442
2009,Insurance and financial services,1.66004994
2008,Insurance and financial services,1.489493517
2007,Insurance and financial services,1.535696715
2006,Insurance and financial services,1.717897662
2005,Insurance and financial services,1.721482747
2004,Insurance and financial services,2.194278513
2003,Insurance and financial services,2.45575725
2002,Insurance and financial services,1.39641699
2001,Insurance and financial services,2.593901417
2000,Insurance and financial services,2.270767625
1999,Insurance and financial services,2.40791738
1994,Insurance and financial services,0.070416701
1993,Insurance and financial services,0.07406493
1992,Insurance and financial services,0.072393822
1991,Insurance and financial services,0.076374745
1990,Insurance and financial services,0.068654374
1989,Insurance and financial services,0.092998539
1988,Insurance and financial services,0.100401606
1987,Insurance and financial services,0.073139514
1986,Insurance and financial services,0.081649316
1985,Insurance and financial services,0.087815587
1984,Insurance and financial services,0.046772685
1983,Insurance and financial services,0.049419323
1982,Insurance and financial services,0.057937428
1981,Insurance and financial services,0.106345268
1980,Insurance and financial services,0.658472344
1979,Insurance and financial services,0.841423948
1978,Insurance and financial services,0.703674746
1977,Insurance and financial services,0.287356322
1976,Insurance and financial services,0.233372229
1975,Insurance and financial services,0.240963855
1974,Insurance and financial services,0.25974026
2024,Manufactures,69.78255567
2023,Manufactures,68.39391189
2022,Manufactures,66.65968588
2021,Manufactures,70.28327077
2020,Manufactures,73.12604439
2019,Manufactures,70.12152127
2018,Manufactures,68.42407725
2017,Manufactures,66.59507625
2016,Manufactures,68.0179739
2015,Manufactures,66.4149362
2014,Manufactures,61.57014639
2013,Manufactures,60.63150034
2012,Manufactures,61.54927037
2011,Manufactures,62.0434187
2010,Manufactures,67.00102597
2009,Manufactures,69.60010515
2008,Manufactures,54.15176801
2007,Manufactures,70.89333647
2006,Manufactures,73.38886263
2005,Manufactures,74.54507655
2004,Manufactures,75.51858072
2003,Manufactures,76.69845596
2002,Manufactures,78.26637668
2001,Manufactures,80.02690163
2000,Manufactures,80.3553213
1999,Manufactures,80.27611031
1998,Manufactures,78.69230532
1997,Manufactures,76.43877901
1996,Manufactures,75.70470021
1995,Manufactures,74.67180574
1994,Manufactures,73.62057593
1993,Manufactures,69.62086215
1992,Manufactures,64.34859757
1991,Manufactures,60.53513847
1990,Manufactures,53.72836287
1989,Manufactures,48.63618187
1988,Manufactures,43.51421445
1987,Manufactures,39.26469121
1986,Manufactures,37.04778169
1985,Manufactures,27.17054329
1984,Manufactures,26.53385995
1983,Manufactures,24.7219038
1982,Manufactures,22.84542598
1981,Manufactures,19.59382272
1980,Manufactures,18.75424926
1979,Manufactures,17.47572814
1978,Manufactures,18.62155875
1977,Manufactures,15.01138478
1976,Manufactures,15.08138289
1975,Manufactures,17.271125
1974,Manufactures,12.92807009
1973,Manufactures,11.39881006
1972,Manufactures,10.17606295
1971,Manufactures,7.529796048
1970,Manufactures,6.546652463
1969,Manufactures,5.778013441
1968,Manufactures,5.784956242
1967,Manufactures,3.852920965
1966,Manufactures,5.287424916
1965,Manufactures,5.22545859
1964,Manufactures,5.184449895
2024,Ores and metals,3.696829991
2023,Ores and metals,3.790461848
2022,Ores and metals,3.945766918
2021,Ores and metals,4.718026008
2020,Ores and metals,3.502939746
2019,Ores and metals,3.86055943
2018,Ores and metals,4.266519046
2017,Ores and metals,3.947781085
2016,Ores and metals,3.854242852
2015,Ores and metals,3.925235484
2014,Ores and metals,2.877698154
2013,Ores and metals,3.292700102
2012,Ores and metals,2.321398532
2011,Ores and metals,2.477400282
2010,Ores and metals,1.950083851
2009,Ores and metals,1.533004343
2008,Ores and metals,1.787810002
2007,Ores and metals,1.584828865
2006,Ores and metals,1.334136139
2005,Ores and metals,1.123414662
2004,Ores and metals,1.109602595
2003,Ores and metals,0.871143249
2002,Ores and metals,0.934102943
2001,Ores and metals,1.023589565
2000,Ores and metals,1.03989618
1999,Ores and metals,1.15091487
1998,Ores and metals,1.196550361
1997,Ores and metals,1.209488273
1996,Ores and metals,1.222593101
1995,Ores and metals,1.346209983
1994,Ores and metals,1.269430514
1993,Ores and metals,1.236581191
1992,Ores and metals,1.535431545
1991,Ores and metals,1.532837159
1990,Ores and metals,2.07630454
1989,Ores and metals,3.001170333
1988,Ores and metals,2.994637006
1987,Ores and metals,3.055329571
1986,Ores and metals,2.968220421
1985,Ores and metals,5.318294124
1984,Ores and metals,3.994586888
1983,Ores and metals,6.346743623
1982,Ores and metals,6.24831442
1981,Ores and metals,9.017847379
1980,Ores and metals,10.18997068
1979,Ores and metals,10.66566442
1978,Ores and metals,12.77977009
1977,Ores and metals,12.41976461
1976,Ores and metals,12.3998518
1975,Ores and metals,13.86091799
1974,Ores and metals,15.53874616
1973,Ores and metals,13.02609162
1972,Ores and metals,20.21931093
1971,Ores and metals,19.26236129
1970,Ores and metals,22.57009533
1969,Ores and metals,21.75952535
1968,Ores and metals,23.71196501
1967,Ores and metals,26.53173184
1966,Ores and metals,25.92515787
1965,Ores and metals,28.8561845
1964,Ores and metals,27.8811837
