Year,Indicator Name,Value
1960,Exports of goods and services (% of GDP),53.06853051
1960,Imports of goods and services (% of GDP),39.2601432
1961,Exports of goods and services (% of GDP),48.4713157
1961,Exports of goods and services (annual % growth),5.534501377
1961,Imports of goods and services (% of GDP),41.58364823
1961,Imports of goods and services (annual % growth),4.585943318
1962,Exports of goods and services (% of GDP),46.0421087
1962,Exports of goods and services (annual % growth),4.807247626
1962,Imports of goods and services (% of GDP),43.13693488
1962,Imports of goods and services (annual % growth),7.318611242
1963,Exports of goods and services (% of GDP),45.71837585
1963,Exports of goods and services (annual % growth),5.852565797
1963,Imports of goods and services (% of GDP),43.98750651
1963,Imports of goods and services (annual % growth),0.911226977
1964,Agricultural raw materials exports (% of merchandise exports),51.82793706
1964,Agricultural raw materials imports (% of merchandise imports),2.566052532
1964,Exports of goods and services (% of GDP),44.08208135
1964,Exports of goods and services (annual % growth),-3.474958741
1964,Food exports (% of merchandise exports),9.418381391
1964,Food imports (% of merchandise imports),29.92176239
1964,Fuel exports (% of merchandise exports),4.896504321
1964,Fuel imports (% of merchandise imports),11.37791902
1964,Imports of goods and services (% of GDP),42.34762428
1964,Imports of goods and services (annual % growth),-2.563352901
1964,Manufactures exports (% of merchandise exports),5.184449895
1964,Manufactures imports (% of merchandise imports),48.178735
1964,Ores and metals exports (% of merchandise exports),27.8811837
1964,Ores and metals imports (% of merchandise imports),4.798587254
1965,Agricultural raw materials exports (% of merchandise exports),49.66630743
1965,Agricultural raw materials imports (% of merchandise imports),2.740501687
1965,Exports of goods and services (% of GDP),44.89502762
1965,Exports of goods and services (annual % growth),8.29325467
1965,Food exports (% of merchandise exports),10.76531641
1965,Food imports (% of merchandise imports),27.18970987
1965,Fuel exports (% of merchandise exports),4.672468571
1965,Fuel imports (% of merchandise imports),11.6404741
1965,Imports of goods and services (% of GDP),40.4198895
1965,Imports of goods and services (annual % growth),6.651719473
1965,Manufactures exports (% of merchandise exports),5.22545859
1965,Manufactures imports (% of merchandise imports),51.83318895
1965,Ores and metals exports (% of merchandise exports),28.8561845
1965,Ores and metals imports (% of merchandise imports),4.421671234
1966,Agricultural raw materials exports (% of merchandise exports),52.188255
1966,Agricultural raw materials imports (% of merchandise imports),2.438232753
1966,Exports of goods and services (% of GDP),42.51272992
1966,Exports of goods and services (annual % growth),6.244947922
1966,Food exports (% of merchandise exports),10.57992033
1966,Food imports (% of merchandise imports),25.75524928
1966,Fuel exports (% of merchandise exports),5.177497951
1966,Fuel imports (% of merchandise imports),12.98992547
1966,Imports of goods and services (% of GDP),38.56385742
1966,Imports of goods and services (annual % growth),0.967068394
1966,Manufactures exports (% of merchandise exports),5.287424916
1966,Manufactures imports (% of merchandise imports),53.98566003
1966,Ores and metals exports (% of merchandise exports),25.92515787
1966,Ores and metals imports (% of merchandise imports),2.583009112
1967,Agricultural raw materials exports (% of merchandise exports),52.28977935
1967,Agricultural raw materials imports (% of merchandise imports),2.259549588
1967,Exports of goods and services (% of GDP),40.9649662
1967,Exports of goods and services (annual % growth),5.358502069
1967,Food exports (% of merchandise exports),10.8726145
1967,Food imports (% of merchandise imports),26.63519973
1967,Fuel exports (% of merchandise exports),5.626544185
1967,Fuel imports (% of merchandise imports),13.42552831
1967,Imports of goods and services (% of GDP),38.5269412
1967,Imports of goods and services (annual % growth),1.790672203
1967,Manufactures exports (% of merchandise exports),3.852920965
1967,Manufactures imports (% of merchandise imports),52.45766077
1967,Ores and metals exports (% of merchandise exports),26.53173184
1967,Ores and metals imports (% of merchandise imports),2.960188611
1968,Agricultural raw materials exports (% of merchandise exports),50.1415603
1968,Agricultural raw materials imports (% of merchandise imports),2.311035731
1968,Exports of goods and services (% of GDP),43.22707209
1968,Exports of goods and services (annual % growth),15.85908572
1968,Food exports (% of merchandise exports),10.52632213
1968,Food imports (% of merchandise imports),25.01896889
1968,Fuel exports (% of merchandise exports),8.797276845
1968,Fuel imports (% of merchandise imports),14.2282125
1968,Imports of goods and services (% of GDP),39.70573811
1968,Imports of goods and services (annual % growth),3.368331506
1968,Manufactures exports (% of merchandise exports),5.784956242
1968,Manufactures imports (% of merchandise imports),50.54536453
1968,Ores and metals exports (% of merchandise exports),23.71196501
1968,Ores and metals imports (% of merchandise imports),6.064415558
1969,Agricultural raw materials exports (% of merchandise exports),55.71122916
1969,Agricultural raw materials imports (% of merchandise imports),3.250251521
1969,Exports of goods and services (% of GDP),47.21875557
1969,Exports of goods and services (annual % growth),5.375673996
1969,Food exports (% of merchandise exports),8.965345797
1969,Food imports (% of merchandise imports),23.79645196
1969,Fuel exports (% of merchandise exports),6.99215983
1969,Fuel imports (% of merchandise imports),13.55328207
1969,Imports of goods and services (% of GDP),37.02085933
1969,Imports of goods and services (annual % growth),1.609499854
1969,Manufactures exports (% of merchandise exports),5.778013441
1969,Manufactures imports (% of merchandise imports),52.19505512
1969,Ores and metals exports (% of merchandise exports),21.75952535
1969,Ores and metals imports (% of merchandise imports),5.59451131
1970,Agricultural raw materials exports (% of merchandise exports),50.04839133
1970,Agricultural raw materials imports (% of merchandise imports),2.148211686
1970,Exports of goods and services (% of GDP),45.55752811
1970,Exports of goods and services (annual % growth),4.953714001
1970,Food exports (% of merchandise exports),12.63583704
1970,Food imports (% of merchandise imports),21.53098791
1970,Fuel exports (% of merchandise exports),7.347273155
1970,Fuel imports (% of merchandise imports),12.06913723
1970,Imports of goods and services (% of GDP),41.32217432
1970,Imports of goods and services (annual % growth),17.09945345
1970,Manufactures exports (% of merchandise exports),6.546652463
1970,Manufactures imports (% of merchandise imports),56.91772986
1970,Ores and metals exports (% of merchandise exports),22.57009533
1970,Ores and metals imports (% of merchandise imports),5.826562912
1971,Agricultural raw materials exports (% of merchandise exports),46.00612525
1971,Agricultural raw materials imports (% of merchandise imports),1.934476912
1971,Exports of goods and services (% of GDP),40.46314164
1971,Exports of goods and services (annual % growth),1.557658256
1971,Food exports (% of merchandise exports),15.6418013
1971,Food imports (% of merchandise imports),20.18728585
1971,Fuel exports (% of merchandise exports),10.33561241
1971,Fuel imports (% of merchandise imports),13.05168897
1971,Imports of goods and services (% of GDP),39.02740255
1971,Imports of goods and services (annual % growth),-0.243929527
1971,Manufactures exports (% of merchandise exports),7.529796048
1971,Manufactures imports (% of merchandise imports),59.03777987
1971,Ores and metals exports (% of merchandise exports),19.26236129
1971,Ores and metals imports (% of merchandise imports),4.533259722
1972,Agricultural raw materials exports (% of merchandise exports),45.07142234
1972,Agricultural raw materials imports (% of merchandise imports),2.40804631
1972,Exports of goods and services (% of GDP),36.01265823
1972,Exports of goods and services (annual % growth),2.023468074
1972,Food exports (% of merchandise exports),16.74816715
1972,Food imports (% of merchandise imports),20.76339052
1972,Fuel exports (% of merchandise exports),6.861792905
1972,Fuel imports (% of merchandise imports),8.107625485
1972,Imports of goods and services (% of GDP),37.3628692
1972,Imports of goods and services (annual % growth),-3.023229298
1972,Manufactures exports (% of merchandise exports),10.17606295
1972,Manufactures imports (% of merchandise imports),62.64599205
1972,Ores and metals exports (% of merchandise exports),20.21931093
1972,Ores and metals imports (% of merchandise imports),4.844771241
1973,Agricultural raw materials exports (% of merchandise exports),55.35213485
1973,Agricultural raw materials imports (% of merchandise imports),3.03198915
1973,Exports of goods and services (% of GDP),41.48373658
1973,Exports of goods and services (annual % growth),14.19127423
1973,Food exports (% of merchandise exports),14.23354636
1973,Food imports (% of merchandise imports),20.79729213
1973,Fuel exports (% of merchandise exports),5.404693451
1973,Fuel imports (% of merchandise imports),6.626841267
1973,Imports of goods and services (% of GDP),35.84895583
1973,Imports of goods and services (annual % growth),16.66474976
1973,Manufactures exports (% of merchandise exports),11.39881006
1973,Manufactures imports (% of merchandise imports),64.45220443
1973,Ores and metals exports (% of merchandise exports),13.02609162
1973,Ores and metals imports (% of merchandise imports),3.997047069
1974,Agricultural raw materials exports (% of merchandise exports),43.57731007
1974,Agricultural raw materials imports (% of merchandise imports),2.017571066
1974,Exports of goods and services (% of GDP),48.31131333
1974,Exports of goods and services (annual % growth),15.92512734
1974,Food exports (% of merchandise exports),18.83923636
1974,Food imports (% of merchandise imports),17.99240577
1974,Fuel exports (% of merchandise exports),8.487953176
1974,Fuel imports (% of merchandise imports),10.15108572
1974,Imports of goods and services (% of GDP),48.07507218
1974,Imports of goods and services (annual % growth),36.83072915
1974,Insurance and financial services (% of commercial service exports),0.25974026
1974,Manufactures exports (% of merchandise exports),12.92807009
1974,Manufactures imports (% of merchandise imports),64.54209476
1974,Ores and metals exports (% of merchandise exports),15.53874616
1974,Ores and metals imports (% of merchandise imports),4.437710246
1975,Agricultural raw materials exports (% of merchandise exports),34.12704042
1975,Agricultural raw materials imports (% of merchandise imports),2.05587542
1975,Exports of goods and services (% of GDP),45.548988
1975,Exports of goods and services (annual % growth),-2.996510262
1975,Food exports (% of merchandise exports),23.21339293
1975,Food imports (% of merchandise imports),18.20320353
1975,Fuel exports (% of merchandise exports),10.88139478
1975,Fuel imports (% of merchandise imports),12.02170094
1975,Imports of goods and services (% of GDP),45.09672219
1975,Imports of goods and services (annual % growth),-17.09505433
1975,Insurance and financial services (% of commercial service exports),0.240963855
1975,Manufactures exports (% of merchandise exports),17.271125
1975,Manufactures imports (% of merchandise imports),61.73098877
1975,Ores and metals exports (% of merchandise exports),13.86091799
1975,Ores and metals imports (% of merchandise imports),5.241311522
1976,Agricultural raw materials exports (% of merchandise exports),41.06745171
1976,Agricultural raw materials imports (% of merchandise imports),2.964414908
1976,Exports of goods and services (% of GDP),51.8212569
1976,Exports of goods and services (annual % growth),16.96170808
1976,Food exports (% of merchandise exports),16.53421668
1976,Food imports (% of merchandise imports),16.66771356
1976,Fuel exports (% of merchandise exports),14.44123509
1976,Fuel imports (% of merchandise imports),13.50904123
1976,Imports of goods and services (% of GDP),41.37439915
1976,Imports of goods and services (annual % growth),9.188530835
1976,Insurance and financial services (% of commercial service exports),0.233372229
1976,Manufactures exports (% of merchandise exports),15.08138289
1976,Manufactures imports (% of merchandise imports),62.68490685
1976,Ores and metals exports (% of merchandise exports),12.3998518
1976,Ores and metals imports (% of merchandise imports),3.56380187
1977,Agricultural raw materials exports (% of merchandise exports),38.69816368
1977,Agricultural raw materials imports (% of merchandise imports),3.051984178
1977,Exports of goods and services (% of GDP),50.14223871
1977,Exports of goods and services (annual % growth),4.160636443
1977,Food exports (% of merchandise exports),19.19466134
1977,Food imports (% of merchandise imports),16.71688884
1977,Fuel exports (% of merchandise exports),14.28039609
1977,Fuel imports (% of merchandise imports),12.7461486
1977,Imports of goods and services (% of GDP),42.63450835
1977,Imports of goods and services (annual % growth),15.78363447
1977,Insurance and financial services (% of commercial service exports),0.287356322
1977,Manufactures exports (% of merchandise exports),15.01138478
1977,Manufactures imports (% of merchandise imports),63.07429055
1977,Ores and metals exports (% of merchandise exports),12.41976461
1977,Ores and metals imports (% of merchandise imports),3.78144887
1978,Agricultural raw materials exports (% of merchandise exports),36.28820658
1978,Agricultural raw materials imports (% of merchandise imports),2.493153152
1978,Exports of goods and services (% of GDP),49.05505992
1978,Exports of goods and services (annual % growth),7.58943986
1978,Food exports (% of merchandise exports),17.8018815
1978,Food imports (% of merchandise imports),16.43753751
1978,Fuel exports (% of merchandise exports),14.04445986
1978,Fuel imports (% of merchandise imports),10.73754402
1978,Imports of goods and services (% of GDP),43.49099931
1978,Imports of goods and services (annual % growth),12.87161633
