Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,,
Malaysia,MYS,2024,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.01431205,,Indicator Name
Malaysia,MYS,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.73444721,,
Malaysia,MYS,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.93669117,,"Communications, computer, etc. (% of service imports, BoP)"
Malaysia,MYS,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.60404482,,"Imports of goods and services (BoP, current US$)"
Malaysia,MYS,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.45717792,,"Insurance and financial services (% of service imports, BoP)"
Malaysia,MYS,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.22136802,,"Goods imports (BoP, current US$)"
Malaysia,MYS,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.64410166,,"Service imports (BoP, current US$)"
Malaysia,MYS,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.93168534,,"Imports of goods, services and primary income (BoP, current US$)"
Malaysia,MYS,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.14314709,,"Transport services (% of service imports, BoP)"
Malaysia,MYS,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.92293517,,"Travel services (% of service imports, BoP)"
Malaysia,MYS,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.84576233,,"Net trade in goods and services (BoP, current US$)"
Malaysia,MYS,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.98537318,,"Net trade in goods (BoP, current US$)"
Malaysia,MYS,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.69152354,,"ICT service exports (BoP, current US$)"
Malaysia,MYS,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.90596317,,"ICT service exports (% of service exports, BoP)"
Malaysia,MYS,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.39847805,,"Communications, computer, etc. (% of service exports, BoP)"
Malaysia,MYS,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.57030657,,"Exports of goods and services (BoP, current US$)"
Malaysia,MYS,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.43765219,,"Insurance and financial services (% of service exports, BoP)"
Malaysia,MYS,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.8343068,,"Goods exports (BoP, current US$)"
Malaysia,MYS,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.49481053,,"Service exports (BoP, current US$)"
Malaysia,MYS,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.05604129,,"Exports of goods, services and primary income (BoP, current US$)"
Malaysia,MYS,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.32263821,,"Transport services (% of service exports, BoP)"
Malaysia,MYS,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.28619119,,"Travel services (% of service exports, BoP)"
Malaysia,MYS,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.10327677,,"Energy imports, net (% of energy use)"
Malaysia,MYS,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.65657058,,Taxes on exports (% of tax revenue)
Malaysia,MYS,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.83228723,,Customs and other import duties (% of tax revenue)
Malaysia,MYS,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.89660997,,Average time to clear exports through customs (days)
Malaysia,MYS,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,34.14752472,,"Lead time to export, median case (days)"
Malaysia,MYS,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,34.02217707,,"Lead time to import, median case (days)"
Malaysia,MYS,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.43080852,,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
Malaysia,MYS,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.96704579,,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
Malaysia,MYS,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.69578245,,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
Malaysia,MYS,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.8097727,,Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
Malaysia,MYS,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.83034341,,Logistics performance index: Overall (1=low to 5=high)
Malaysia,MYS,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.25873664,,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
